100个空调完整时间序列数据

"空调: AC_S_050 (small), 额定功率: 3.21kW, 温度范围: [20.3, 25.8]°C, 状态: success"
11.0,30.9,25.40,2.401,88.6
11.5,30.7,25.40,2.318,85.5
12.0,30.5,25.40,2.234,82.4
12.5,30.3,25.40,2.150,79.3
13.0,30.1,25.40,2.066,76.2
13.5,30.0,25.40,1.982,73.1
14.0,29.8,25.40,1.898,70.1
14.5,29.5,25.40,1.787,65.9
15.0,29.2,25.40,1.676,61.8
15.5,29.0,25.40,1.565,57.7
16.0,28.7,25.40,1.453,53.6
16.5,28.5,25.40,1.342,49.5
17.0,28.2,25.40,1.231,45.4
17.5,28.3,25.40,1.262,46.6
18.0,28.4,25.40,1.293,47.7
18.5,28.4,25.40,1.324,48.9
19.0,28.5,25.40,1.355,50.0
19.5,28.6,25.40,1.386,51.1
20.0,28.7,25.40,1.417,52.3
20.5,28.6,25.40,1.396,51.5
21.0,28.6,25.40,1.375,50.7
21.5,28.5,25.40,1.354,50.0
22.0,28.5,25.40,1.333,49.2
22.5,28.4,25.40,1.312,48.4
23.0,28.4,25.40,1.291,47.7
23.5,28.3,25.40,1.282,47.3
24.0,28.3,25.40,1.282,47.3

"空调: AC_M_016 (medium), 额定功率: 4.87kW, 温度范围: [21.3, 24.6]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.67,0.000,0.0
1.0,27.5,23.84,0.000,0.0
1.5,27.5,23.99,0.000,0.0
2.0,27.5,24.14,0.000,0.0
2.5,27.5,24.28,0.000,0.0
3.0,27.4,24.41,0.000,0.0
3.5,27.4,24.54,0.000,0.0
4.0,27.4,24.60,1.079,22.2
4.5,27.4,24.60,2.155,44.3
5.0,27.4,24.60,2.142,44.0
5.5,27.6,24.60,2.359,48.4
6.0,27.9,24.60,2.576,52.9
6.5,28.2,24.60,2.793,57.4
7.0,28.5,24.60,3.011,61.8
7.5,28.8,24.60,3.228,66.3
8.0,29.1,24.60,3.445,70.7
8.5,29.4,24.60,3.686,75.7
9.0,29.7,24.60,3.927,80.6
9.5,30.0,24.60,4.168,85.6
10.0,30.3,24.60,4.408,90.5
10.5,30.6,24.60,4.670,95.9
11.0,30.9,24.60,4.870,100.0
11.5,30.7,24.60,4.741,97.4
12.0,30.5,24.60,4.592,94.3
12.5,30.3,24.60,4.443,91.2
13.0,30.1,24.60,4.294,88.2
13.5,30.0,24.60,4.145,85.1
14.0,29.8,24.60,3.995,82.0
14.5,29.5,24.60,3.798,78.0
15.0,29.2,24.60,3.600,73.9
15.5,29.0,24.60,3.402,69.9
16.0,28.7,24.60,3.204,65.8
16.5,28.5,24.60,3.006,61.7
17.0,28.2,24.60,2.808,57.7
17.5,28.3,24.60,2.864,58.8
18.0,28.4,24.60,2.919,59.9
18.5,28.4,24.60,2.974,61.1
19.0,28.5,24.60,3.029,62.2
19.5,28.6,24.60,3.084,63.3
20.0,28.7,24.60,3.140,64.5
20.5,28.6,24.60,3.102,63.7
21.0,28.6,24.60,3.065,62.9
21.5,28.5,24.60,3.028,62.2
22.0,28.5,24.60,2.991,61.4
22.5,28.4,24.60,2.953,60.6
23.0,28.4,24.60,2.916,59.9
23.5,28.3,24.60,2.899,59.5
24.0,28.3,24.60,2.899,59.5

"空调: AC_S_059 (small), 额定功率: 3.49kW, 温度范围: [20.5, 25.6]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.80,0.000,0.0
1.0,27.5,24.08,0.000,0.0
1.5,27.5,24.33,0.000,0.0
2.0,27.5,24.56,0.000,0.0
2.5,27.5,24.78,0.000,0.0
3.0,27.4,24.98,0.000,0.0
3.5,27.4,25.16,0.000,0.0
4.0,27.4,25.32,0.000,0.0
4.5,27.4,25.47,0.000,0.0
5.0,27.4,25.60,0.099,2.8
