AC_ID,Date,Hour,Sampled_Price,Base_Price,Real_Price,AC_Power,Outdoor_Temperature,Indoor_Temperature,Next_Indoor_Temperature,Dynamic_T_max,Initial_Temperature,Is_Real_Data,Is_Rolling,Rolling_Hour
AC_S_004,2021/09/01,14,-0.11111111111111116,1.0,1.0,5.5653568,25.825694444444444,21.8,,24.83760410191883,21.953854080679527,,True,14
AC_S_004,2021/09/01,14,0.11111111111111116,1.0,1.0,0.0,25.825694444444444,22.262739,,24.56315824572095,21.953854080679527,,True,14
AC_S_004,2021/09/01,14,0.33333333333333326,1.0,1.0,0.0,25.825694444444444,22.262739,,24.29174490939395,21.953854080679527,,True,14
AC_S_004,2021/09/01,14,0.5555555555555554,1.0,1.0,0.0,25.825694444444444,22.262739,,24.023330584773806,21.953854080679527,,True,14
AC_S_004,2021/09/01,14,0.7777777777777777,1.0,1.0,0.0,25.825694444444444,22.262739,,23.757882133948645,21.953854080679527,,True,14
AC_S_004,2021/09/01,14,1.0,1.0,1.0,0.0,25.825694444444444,22.262739,,23.495366785167636,21.953854080679527,,True,14
AC_S_004,2021/09/01,14,1.0,1.0,1.0,0.0,25.825694444444444,21.953854080679527,22.400377158944426,23.495366785167636,21.953854080679527,True,True,14
AC_S_004,2021/09/01,15,-1.0,1.0,1.0,5.5653568,26.55532407361111,21.8,,25.966396080487794,22.400377158944426,,True,15
AC_S_004,2021/09/01,15,-0.7777777777777778,1.0,1.0,5.5653568,26.55532407361111,21.8,,25.67947751235858,22.400377158944426,,True,15
AC_S_004,2021/09/01,15,-0.5555555555555556,1.0,1.0,5.5653568,26.55532407361111,21.8,,25.395729282711542,22.400377158944426,,True,15
AC_S_004,2021/09/01,15,-0.33333333333333337,1.0,1.0,5.5653568,26.55532407361111,21.8,,25.115116360540643,22.400377158944426,,True,15
AC_S_004,2021/09/01,15,-0.11111111111111116,1.0,1.0,5.5653568,26.55532407361111,21.8,,24.83760410191883,22.400377158944426,,True,15
AC_S_004,2021/09/01,15,0.11111111111111116,1.0,1.0,0.0,26.55532407361111,22.321047,,24.56315824572095,22.400377158944426,,True,15
AC_S_004,2021/09/01,15,0.33333333333333326,1.0,1.0,0.0,26.55532407361111,22.321047,,24.29174490939395,22.400377158944426,,True,15
AC_S_004,2021/09/01,15,0.5555555555555554,1.0,1.0,0.0,26.55532407361111,22.321047,,24.023330584773806,22.400377158944426,,True,15
AC_S_004,2021/09/01,15,0.7777777777777777,1.0,1.0,0.0,26.55532407361111,22.321047,,23.757882133948645,22.400377158944426,,True,15
AC_S_004,2021/09/01,15,1.0,1.0,1.0,0.0,26.55532407361111,22.321047,,23.495366785167636,22.400377158944426,,True,15
AC_S_004,2021/09/01,15,1.0,1.0,1.0,0.0,26.55532407361111,22.400377158944426,22.85814776549129,23.495366785167636,22.400377158944426,True,True,15
AC_S_004,2021/09/01,16,-1.0,0.75,0.75,5.5653568,26.638194444444444,21.8,,25.966396080487794,22.85814776549129,,True,16
AC_S_004,2021/09/01,16,-0.7777777777777778,0.75,0.75,5.5653568,26.638194444444444,21.8,,25.67947751235858,22.85814776549129,,True,16
AC_S_004,2021/09/01,16,-0.5555555555555556,0.75,0.75,5.5653568,26.638194444444444,21.8,,25.395729282711542,22.85814776549129,,True,16
AC_S_004,2021/09/01,16,-0.33333333333333337,0.75,0.75,5.5653568,26.638194444444444,21.8,,25.115116360540643,22.85814776549129,,True,16
AC_S_004,2021/09/01,16,-0.11111111111111116,0.75,0.75,5.5653568,26.638194444444444,21.8,,24.83760410191883,22.85814776549129,,True,16
AC_S_004,2021/09/01,16,0.11111111111111116,0.75,0.75,0.0,26.638194444444444,22.298797,,24.56315824572095,22.85814776549129,,True,16
AC_S_004,2021/09/01,16,0.33333333333333326,0.75,0.75,0.0,26.638194444444444,22.298797,,24.29174490939395,22.85814776549129,,True,16
AC_S_004,2021/09/01,16,0.5555555555555554,0.75,0.75,0.0,26.638194444444444,22.298797,,24.023330584773806,22.85814776549129,,True,16
AC_S_004,2021/09/01,16,0.7777777777777777,0.75,0.75,0.0,26.638194444444444,22.298797,,23.757882133948645,22.85814776549129,,True,16
AC_S_004,2021/09/01,16,1.0,0.75,0.75,0.0,26.638194444444444,22.298797,,23.495366785167636,22.85814776549129,,True,16
AC_S_004,2021/09/01,16,0.75,0.75,0.75,0.0,26.638194444444444,22.85814776549129,23.245421456206728,23.495366785167636,22.85814776549129,True,True,16
AC_S_004,2021/09/01,17,-1.0,0.75,0.75,5.5653568,26.911805555555556,21.8,,25.966396080487794,23.245421456206728,,True,17
AC_S_004,2021/09/01,17,-0.7777777777777778,0.75,0.75,5.5653568,26.911805555555556,21.8,,25.67947751235858,23.245421456206728,,True,17
AC_S_004,2021/09/01,17,-0.5555555555555556,0.75,0.75,5.5653568,26.911805555555556,21.8,,25.395729282711542,23.245421456206728,,True,17
AC_S_004,2021/09/01,17,-0.33333333333333337,0.75,0.75,5.5653568,26.911805555555556,21.8,,25.115116360540643,23.245421456206728,,True,17
AC_S_004,2021/09/01,17,-0.11111111111111116,0.75,0.75,5.5653568,26.911805555555556,21.8,,24.83760410191883,23.245421456206728,,True,17
AC_S_004,2021/09/01,17,0.11111111111111116,0.75,0.75,0.0,26.911805555555556,22.463868,,24.56315824572095,23.245421456206728,,True,17
AC_S_004,2021/09/01,17,0.33333333333333326,0.75,0.75,0.0,26.911805555555556,22.463868,,24.29174490939395,23.245421456206728,,True,17
AC_S_004,2021/09/01,17,0.5555555555555554,0.75,0.75,0.0,26.911805555555556,22.463868,,24.023330584773806,23.245421456206728,,True,17
AC_S_004,2021/09/01,17,0.7777777777777777,0.75,0.75,0.0,26.911805555555556,22.463868,,23.757882133948645,23.245421456206728,,True,17
AC_S_004,2021/09/01,17,1.0,0.75,0.75,0.0,26.911805555555556,22.463868,,23.495366785167636,23.245421456206728,,True,17
AC_S_004,2021/09/01,17,0.75,0.75,0.75,0.0,26.911805555555556,23.245421456206728,23.7569486998828,23.495366785167636,23.245421456206728,True,True,17
AC_S_004,2021/09/01,18,-1.0,0.5,0.5,5.5653568,29.28587962916667,21.8,,25.966396080487794,23.7569486998828,,True,18
AC_S_004,2021/09/01,18,-0.7777777777777778,0.5,0.5,5.5653568,29.28587962916667,21.8,,25.67947751235858,23.7569486998828,,True,18
AC_S_004,2021/09/01,18,-0.5555555555555556,0.5,0.5,5.5653568,29.28587962916667,21.8,,25.395729282711542,23.7569486998828,,True,18
AC_S_004,2021/09/01,18,-0.33333333333333337,0.5,0.5,5.5653568,29.28587962916667,21.8,,25.115116360540643,23.7569486998828,,True,18
AC_S_004,2021/09/01,18,-0.11111111111111116,0.5,0.5,5.5653568,29.28587962916667,21.8,,24.83760410191883,23.7569486998828,,True,18
AC_S_004,2021/09/01,18,0.11111111111111116,0.5,0.5,0.0,29.28587962916667,22.668559,,24.56315824572095,23.7569486998828,,True,18
AC_S_004,2021/09/01,18,0.33333333333333326,0.5,0.5,0.0,29.28587962916667,22.668559,,24.29174490939395,23.7569486998828,,True,18
AC_S_004,2021/09/01,18,0.5555555555555554,0.5,0.5,0.0,29.28587962916667,22.668559,,24.023330584773806,23.7569486998828,,True,18
AC_S_004,2021/09/01,18,0.7777777777777777,0.5,0.5,0.0,29.28587962916667,22.668559,,23.757882133948645,23.7569486998828,,True,18
AC_S_004,2021/09/01,18,1.0,0.5,0.5,0.0,29.28587962916667,22.668559,,23.495366785167636,23.7569486998828,,True,18
AC_S_004,2021/09/01,18,0.5,0.5,0.5,0.0,29.28587962916667,23.7569486998828,24.419254554030232,23.495366785167636,23.7569486998828,True,True,18
AC_S_004,2021/09/01,19,-1.0,0.25,0.25,5.5653568,30.076157406944446,21.8,,25.966396080487794,24.419254554030232,,True,19
