Hour,Sampled_Price,AC_Power,Outdoor_Temperature,Indoor_Temperature,Dynamic_T_max
20,0.030303030303030498,6.5996954,26.0,22.038397,23.96366389793776
20,0.05050505050505061,6.5996954,26.0,22.038397,23.939470397825243
20,0.07070707070707072,6.5996954,26.0,22.038397,23.91530132325342
20,0.09090909090909105,6.5996954,26.0,22.038397,23.891156649562483
20,0.11111111111111116,6.5996954,26.0,22.038397,23.867036352117523
20,0.1313131313131315,6.5996954,26.0,22.038397,23.842940406308497
20,0.1515151515151516,6.5996954,26.0,22.038397,23.818868787550215
20,0.1717171717171717,6.5996954,26.0,22.038397,23.794821471282305
20,0.19191919191919204,6.5996954,26.0,22.038397,23.77079843296919
20,0.21212121212121215,6.5996954,26.0,22.038397,23.746799648100062
20,0.2323232323232325,6.5996954,26.0,22.038397,23.722825092188867
20,0.2525252525252526,6.5996954,26.0,22.038397,23.69887474077426
20,0.27272727272727293,6.5996954,26.0,22.038397,23.674948569419605
20,0.29292929292929304,6.5996954,26.0,22.038397,23.651046553712927
20,0.31313131313131315,6.5996954,26.0,22.038397,23.6271686692669
20,0.3333333333333335,6.5996954,26.0,22.038397,23.60331489171882
20,0.3535353535353536,6.5996954,26.0,22.038397,23.57948519673058
20,0.3737373737373739,6.5996954,26.0,22.038397,23.55567955998864
20,0.39393939393939403,4.5602149,26.0,22.425102,23.531897957204016
20,0.41414141414141437,2.6522666,26.0,22.786867,23.508140364112236
20,0.4343434343434345,2.6522666,26.0,22.786867,23.484406756473337
20,0.4545454545454546,0.8673676,26.0,23.1253,23.46069711007181
20,0.4747474747474749,0.0,26.0,23.289761,23.43701140071661
20,0.49494949494949503,0.0,26.0,23.289761,23.41334960424111
20,0.5151515151515154,0.0,26.0,23.289761,23.389711696503078
20,0.5353535353535355,0.0,26.0,23.289761,23.366097653384664
20,0.5555555555555556,0.0,26.0,23.289761,23.34250745079236
20,0.5757575757575759,0.0,26.0,23.289761,23.318941064656986
20,0.595959595959596,0.0,26.0,23.289761,23.295398470933655
20,0.6161616161616164,0.094308462,26.0,23.27188,23.271879645601768
20,0.6363636363636365,0.21822148,26.0,23.248385,23.248384564664967
20,0.6565656565656568,0.3420094,26.0,23.224913,23.224913204151125
20,0.6767676767676769,0.46567234,26.0,23.201466,23.201465540112316
20,0.696969696969697,0.58921043,26.0,23.178042,23.178041548624787
20,0.7171717171717173,0.7126238,26.0,23.154641,23.15464120578895
20,0.7373737373737375,0.83591257,26.0,23.131264,23.13126448772933
20,0.7575757575757578,0.95907687,26.0,23.107911,23.10791137059457
20,0.7777777777777779,1.0821168,26.0,23.084582,23.08458183055739
20,0.7979797979797982,1.2050326,26.0,23.061276,23.06127584381456
20,0.8181818181818183,0.0,26.0,23.037993,23.037993386586884
20,0.8383838383838385,0.0,26.0,23.014734,23.014734435119177
20,0.8585858585858588,0.0,26.0,22.991499,22.991498965680236
20,0.8787878787878789,0.0,26.0,22.968287,22.968286954562814
20,0.8989898989898992,0.0,26.0,22.945098,22.945098378083596
20,0.9191919191919193,0.0,26.0,22.921933,22.92193321258319
20,0.9393939393939394,0.0,26.0,22.898791,22.898791434426077
20,0.9595959595959598,0.0,26.0,22.875673,22.8756730200006
20,0.9797979797979799,0.0,26.0,22.852578,22.852577945718956
20,1.0,0.0,26.0,22.829506,22.829506188017135
21,-1.0,12.0,27.0,21.124047,25.230506313024577
21,-0.9797979797979798,12.0,27.0,21.124047,25.205033820173618
21,-0.9595959595959596,12.0,27.0,21.124047,25.179587044122947
21,-0.9393939393939394,12.0,27.0,21.124047,25.154165958909115
21,-0.9191919191919192,12.0,27.0,21.124047,25.12877053859488
21,-0.898989898989899,12.0,27.0,21.124047,25.1034007572692
21,-0.8787878787878788,12.0,27.0,21.124047,25.078056589047165
21,-0.8585858585858586,12.0,27.0,21.124047,25.05273800807003
21,-0.8383838383838383,12.0,27.0,21.124047,25.027444988505135
21,-0.8181818181818181,12.0,27.0,21.124047,25.00217750454591
21,-0.797979797979798,12.0,27.0,21.124047,24.976935530411836
21,-0.7777777777777778,12.0,27.0,21.124047,24.951719040348422
21,-0.7575757575757576,12.0,27.0,21.124047,24.92652800862718
21,-0.7373737373737373,12.0,27.0,21.124047,24.90136240954559
21,-0.7171717171717171,12.0,27.0,21.124047,24.8762222174271
